"Absen ID","User ID","Start Day","End Day",Status,"Created At"
,41,"2023-04-04 09:31:04","2023-04-05 08:37:35",Selesai,"2023-04-04 09:31:04"
,44,"2023-04-04 09:57:05","2023-04-05 04:24:27",Selesai,"2023-04-04 09:57:05"
,22,"2023-04-04 11:15:53","2023-04-04 20:35:47",Selesai,"2023-04-04 11:15:53"
,9,"2023-04-04 11:32:28","2023-04-04 11:35:10",Selesai,"2023-04-04 11:32:28"
,40,"2023-04-04 12:05:38","2023-04-04 20:10:25",Selesai,"2023-04-04 12:05:38"
,33,"2023-04-04 13:17:00","2023-04-05 09:32:22",Selesai,"2023-04-04 13:17:00"
,37,"2023-04-04 13:40:03","2023-04-05 01:13:24",Selesai,"2023-04-04 13:40:03"
,46,"2023-04-04 16:26:24","2023-04-05 12:09:54",Selesai,"2023-04-04 16:26:24"
,42,"2023-04-05 08:36:44","2023-04-10 08:51:58",Selesai,"2023-04-05 08:36:44"
,41,"2023-04-05 08:43:18","2023-04-05 18:17:15",Selesai,"2023-04-05 08:43:18"
,43,"2023-04-05 09:26:44","2023-04-05 18:00:46",Selesai,"2023-04-05 09:26:44"
,44,"2023-04-05 09:56:27","2023-04-06 09:38:48",Selesai,"2023-04-05 09:56:27"
,40,"2023-04-05 11:00:20","2023-04-05 19:40:12",Selesai,"2023-04-05 11:00:20"
,22,"2023-04-05 11:17:51","2023-04-05 18:24:25",Selesai,"2023-04-05 11:17:51"
,46,"2023-04-05 12:10:02","2023-04-06 10:39:48",Selesai,"2023-04-05 12:10:02"
,33,"2023-04-05 13:38:29","2023-04-06 10:21:18",Selesai,"2023-04-05 13:38:29"
,36,"2023-04-06 08:14:30","2023-04-10 16:45:40",Selesai,"2023-04-06 08:14:30"
,44,"2023-04-06 09:38:52","2023-04-06 20:31:51",Selesai,"2023-04-06 09:38:52"
,41,"2023-04-06 09:39:13","2023-04-06 19:26:54",Selesai,"2023-04-06 09:39:13"
,43,"2023-04-06 09:46:20","2023-04-06 18:10:29",Selesai,"2023-04-06 09:46:20"
,46,"2023-04-06 10:39:53","2023-04-06 20:58:03",Selesai,"2023-04-06 10:39:53"
,33,"2023-04-06 10:41:31",,Standby,"2023-04-06 10:41:31"
,22,"2023-04-06 10:47:09","2023-04-06 18:29:12",Selesai,"2023-04-06 10:47:09"
,40,"2023-04-06 11:07:41","2023-04-06 22:08:34",Selesai,"2023-04-06 11:07:41"
,37,"2023-04-06 11:38:50","2023-04-10 09:56:25",Selesai,"2023-04-06 11:38:50"
,22,"2023-04-10 07:52:57","2023-04-10 18:37:56",Selesai,"2023-04-10 07:52:57"
,42,"2023-04-10 08:52:08","2023-04-10 18:45:33",Selesai,"2023-04-10 08:52:08"
,46,"2023-04-10 08:59:27","2023-04-10 17:03:19",Selesai,"2023-04-10 08:59:27"
,44,"2023-04-10 09:35:30","2023-04-11 09:17:16",Selesai,"2023-04-10 09:35:30"
,43,"2023-04-10 09:47:32","2023-04-10 18:10:11",Selesai,"2023-04-10 09:47:32"
,37,"2023-04-10 09:56:34","2023-04-10 19:57:43",Selesai,"2023-04-10 09:56:34"
,40,"2023-04-10 10:00:02","2023-04-10 19:56:22",Selesai,"2023-04-10 10:00:02"
,34,"2023-04-10 10:08:08","2023-04-10 18:37:26",Selesai,"2023-04-10 10:08:08"
,36,"2023-04-11 08:10:24",,Standby,"2023-04-11 08:10:24"
,42,"2023-04-11 08:27:28",,Standby,"2023-04-11 08:27:28"
,41,"2023-04-11 08:32:00",,Standby,"2023-04-11 08:32:00"
,44,"2023-04-11 09:17:26",,Standby,"2023-04-11 09:17:26"
,37,"2023-04-11 09:18:45",,Standby,"2023-04-11 09:18:45"
,46,"2023-04-11 09:23:52",,Standby,"2023-04-11 09:23:52"
,43,"2023-04-11 09:50:30",,Standby,"2023-04-11 09:50:30"
,34,"2023-04-11 10:17:10",,Standby,"2023-04-11 10:17:10"
,22,"2023-04-11 10:27:27",,Standby,"2023-04-11 10:27:27"
,40,"2023-04-11 10:35:40",,Standby,"2023-04-11 10:35:40"
